ISO,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,PPP, 2030 GDP , 2030 Population ,2030 Water Demand (m3)
SVN,Slovenia," $9,869,022 "," $20,463,401 "," $65,951,894 "," $25,051,952 ", $-   ," $24,267,254 "," $145,603,521 ",0.66," $71,132,882,151 ",1.93E+06,1.02E+09
SOM,Somalia," $124,569,114 "," $124,844,874 "," $18,193,986 "," $70,953,917 "," $10,567,491 "," $69,825,876 "," $418,955,257 ",1.00," $2,150,184,749 ",1.18E+07,4.40E+08
ZAF,South Africa," $2,711,778,451 "," $2,352,739,974 "," $70,777,108 "," $741,382,972 "," $1,919,011,141 "," $1,559,137,929 "," $9,354,827,575 ",0.44," $1,069,186,738,230 ",5.81E+07,3.08E+10
KOR,South Korea," $247,238,843 "," $235,398,973 "," $1,025,520,356 "," $112,103,387 "," $931,471,857 "," $510,346,683 "," $3,062,080,101 ",0.77," $2,581,994,319,680 ",4.93E+07,1.66E+10
ESP,Spain," $324,355,462 "," $388,981,369 "," $11,783,361 "," $328,113,824 "," $5,565,748,798 "," $1,323,796,563 "," $7,942,779,375 ",0.74," $1,583,231,677,370 ",4.99E+07,3.70E+10
LKA,Sri Lanka," $477,459,869 "," $373,659,793 "," $314,393,151 "," $161,059,718 "," $1,355,669,275 "," $536,448,361 "," $3,218,690,167 ",0.33," $308,065,560,604 ",2.23E+07,1.42E+10
SDN,Sudan," $1,301,357,202 "," $2,321,551,402 "," $371,159,103 "," $27,033,413 "," $3,418,221,033 "," $1,487,864,431 "," $8,927,186,584 ",0.55," $219,540,483,304 ",4.97E+07,5.85E+10
SUR,Suriname," $11,276,472 "," $25,781,567 "," $6,119,484 "," $565,604 "," $1,520,769 "," $9,052,779 "," $54,316,675 ",0.55," $9,264,214,861 ",5.76E+05,2.59E+08
SWZ,Swaziland," $53,324,107 "," $60,092,495 "," $1,306,671 "," $5,234,765 "," $17,457,989 "," $27,483,205 "," $164,899,232 ",0.37," $13,771,670,614 ",1.62E+06,5.05E+08
SWE,Sweden," $93,060,568 "," $94,492,610 "," $48,949,897 "," $81,619,777 "," $460,540,168 "," $155,732,604 "," $934,395,624 ",1.06," $456,631,945,568 ",9.76E+06,2.56E+09
CHE,Switzerland," $78,138,631 "," $71,904,753 "," $41,011,468 "," $44,633,678 "," $55,652,716 "," $58,268,249 "," $349,609,494 ",1.29," $516,081,027,361 ",1.06E+07,3.05E+09
SYR,Syria," $182,527,225 "," $318,217,012 "," $82,202,053 "," $66,289,746 "," $2,849,792,731 "," $699,805,753 "," $4,198,834,521 ",1.00," $283,037,454,854 ",2.41E+07,2.94E+10
TJK,Tajikistan," $54,638,045 "," $44,774,402 "," $12,752,705 "," $5,081,763 "," $589,278,068 "," $141,304,996 "," $847,829,979 ",0.33," $45,655,022,480 ",7.54E+06,9.60E+09
THA,Thailand," $2,330,521,210 "," $1,330,685,072 "," $459,222,692 "," $878,413,415 "," $5,997,021,120 "," $2,199,172,702 "," $13,195,036,212 ",0.36," $1,370,351,373,780 ",7.26E+07,9.33E+10
TGO,Togo," $149,924,926 "," $177,371,440 "," $2,139,119 "," $25,092,858 "," $4,745,962 "," $71,854,861 "," $431,129,166 ",0.38," $18,330,605,003 ",7.98E+06,5.61E+08
TTO,Trinidad and Tobago," $3,890,124 "," $5,937,403 "," $3,967,521 ", $-   ," $33,760,918 "," $9,511,193 "," $57,067,158 ",0.53," $43,948,885,488 ",1.19E+06,3.23E+08
TUN,Tunisia," $76,249,646 "," $149,419,214 "," $45,005,071 "," $15,646,492 "," $316,590,586 "," $120,582,202 "," $723,493,210 ",0.33," $229,077,010,890 ",1.18E+07,5.88E+09
TUR,Turkey," $1,243,336,768 "," $3,088,388,672 "," $876,110,671 "," $429,555,959 "," $4,913,999,720 "," $2,110,278,358 "," $12,661,670,147 ",0.44," $1,998,954,826,250 ",8.31E+07,4.82E+10
TKM,Turkmenistan," $55,776,627 "," $66,730,447 "," $12,423,824 "," $16,813,670 "," $2,969,374,746 "," $624,223,863 "," $3,745,343,177 ",0.40," $132,177,053,474 ",5.64E+06,3.82E+10
UGA,Uganda," $1,041,513,495 "," $1,013,404,694 "," $74,392,959 "," $18,402,597 "," $10,196 "," $429,544,788 "," $2,577,268,729 ",0.38," $157,551,994,067 ",5.47E+07,1.07E+09
UKR,Ukraine," $91,593,623 "," $320,563,810 "," $1,415,214,102 "," $49,156,494 "," $2,274,117,658 "," $830,129,137 "," $4,980,774,824 ",0.27," $630,770,466,950 ",4.07E+07,3.14E+10
ARE,United Arab Emirates," $288,875,230 "," $235,592,080 "," $4,452,274 ", $-   ," $428,000,609 "," $191,384,039 "," $1,148,304,232 ",0.55," $739,562,231,686 ",1.23E+07,4.11E+09
GBR,United Kingdom," $668,226,069 "," $783,225,327 "," $15,040,079 "," $761,957,273 "," $883,362,316 "," $622,362,213 "," $3,734,173,277 ",1.07," $3,083,036,128,530 ",6.98E+07,7.91E+09
TZA,United Republic of Tanzania," $1,137,376,712 "," $2,004,810,582 "," $20,612,046 "," $483,445,160 "," $97,621,974 "," $748,773,295 "," $4,492,639,769 ",0.33," $227,027,955,597 ",6.75E+07,5.76E+09
USA,United States of America," $3,186,913,963 "," $4,203,543,172 "," $14,556,094,076 "," $4,496,684,140 "," $113,871,140,818 "," $28,062,875,234 "," $168,377,251,401 ",1.00," $21,674,555,410,500 ",3.60E+08,4.44E+11
URY,Uruguay," $12,689,499 "," $28,760,031 "," $9,980,026 "," $91,867,420 "," $1,350,323 "," $28,929,460 "," $173,576,760 ",0.74," $91,429,195,472 ",3.52E+06,2.10E+09
UZB,Uzbekistan," $491,068,929 "," $391,316,282 "," $193,442,438 "," $20,204,709 "," $5,359,322,581 "," $1,291,070,988 "," $7,746,425,927 ",0.35," $288,798,571,191 ",3.19E+07,6.90E+10
VEN,Venezuela," $678,691,586 "," $1,387,558,090 "," $124,750,653 "," $651,137,003 "," $2,523,066,058 "," $1,073,040,678 "," $6,438,244,067 ",0.80," $595,332,652,672 ",3.43E+07,2.44E+10
VNM,Vietnam," $1,919,130,308 "," $1,643,698,179 "," $770,782,072 "," $432,779,170 "," $3,585,018,474 "," $1,670,281,641 "," $10,021,689,844 ",0.35," $856,667,804,639 ",9.82E+07,6.08E+10
YEM,Yemen," $499,546,446 "," $546,952,723 "," $16,211,101 "," $20,974,908 "," $1,636,844,468 "," $544,105,929 "," $3,264,635,575 ",0.52," $127,357,925,481 ",3.61E+07,1.99E+10
ZMB,Zambia," $1,115,688,734 "," $842,544,737 "," $219,931,072 "," $86,089,880 "," $234,248,835 "," $499,700,652 "," $2,998,203,909 ",0.34," $75,397,510,797 ",2.11E+07,5.37E+09
ZWE,Zimbabwe," $308,037,307 "," $256,446,935 "," $16,796,903 "," $54,338,557 "," $475,377,404 "," $222,199,421 "," $1,333,196,528 ",0.51," $14,556,021,438 ",1.29E+07,7.18E+09
